motorcycles;taxis;cars;bus and coaches;lgv;TotRig;TotArt;dummy
0.466;1.361;0.694;0.779;0.281;0.473;0.474;0
0.337;1.188;0.526;0.66;0.23;0.439;0.439;0
0.207;1.015;0.358;0.54;0.18;0.405;0.403;0
0.156;0.905;0.281;0.394;0.156;0.367;0.37;0
0.105;0.795;0.203;0.247;0.132;0.328;0.337;0
0.082;0.583;0.173;0.213;0.125;0.352;0.349;0
0.058;0.372;0.144;0.179;0.118;0.377;0.361;0
0.057;0.315;0.133;0.171;0.134;0.331;0.339;0
0.055;0.258;0.122;0.163;0.151;0.285;0.317;0
0.075;0.249;0.134;0.186;0.194;0.385;0.395;0
0.095;0.241;0.147;0.208;0.238;0.485;0.473;0
0.174;0.309;0.204;0.334;0.309;0.653;0.615;0
0.252;0.378;0.26;0.46;0.381;0.821;0.757;0
0.612;0.509;0.486;0.656;0.847;1.115;1.075;0
0.972;0.641;0.712;0.853;1.313;1.409;1.393;0
1.155;0.599;0.783;0.905;1.309;1.144;1.223;0
1.338;0.556;0.854;0.957;1.305;0.88;1.053;0
1.567;0.584;0.944;0.979;1.217;0.967;1.115;0
1.796;0.612;1.035;1;1.129;1.054;1.177;0
1.606;0.683;1.07;1.145;1.279;1.342;1.411;0
1.416;0.753;1.105;1.289;1.429;1.63;1.644;0
1.286;0.884;1.13;1.359;1.592;1.83;1.84;0
1.155;1.015;1.155;1.428;1.756;2.03;2.035;0
1.167;1.09;1.185;1.411;1.818;2.15;2.118;0
1.178;1.165;1.215;1.394;1.88;2.27;2.201;0
1.213;1.161;1.247;1.385;1.87;2.288;2.2;0
1.247;1.157;1.279;1.376;1.859;2.306;2.199;0
1.299;1.19;1.289;1.395;1.858;2.235;2.138;0
1.351;1.224;1.299;1.413;1.857;2.164;2.076;0
1.328;1.307;1.28;1.423;1.84;2.048;1.938;0
1.305;1.39;1.261;1.433;1.823;1.932;1.8;0
1.335;1.28;1.27;1.407;1.784;1.791;1.629;0
1.365;1.17;1.278;1.382;1.745;1.651;1.458;0
1.517;1.212;1.289;1.367;1.688;1.476;1.298;0
1.669;1.254;1.3;1.351;1.631;1.301;1.138;0
1.951;1.268;1.358;1.293;1.457;1.202;1.045;0
2.232;1.281;1.416;1.234;1.283;1.103;0.953;0
2.262;1.284;1.472;1.26;1.17;1.114;0.955;0
2.293;1.286;1.529;1.285;1.057;1.126;0.958;0
1.897;1.288;1.429;1.242;0.911;0.78;0.715;0
1.501;1.289;1.329;1.199;0.765;0.435;0.473;0
1.24;1.303;1.184;1.087;0.657;0.431;0.461;0
0.98;1.318;1.038;0.975;0.548;0.427;0.449;0
0.843;1.259;0.949;0.883;0.472;0.358;0.396;0
0.707;1.201;0.859;0.792;0.396;0.289;0.342;0
0.617;1.174;0.804;0.734;0.348;0.315;0.353;0
0.527;1.147;0.749;0.677;0.3;0.34;0.363;0
0.459;1.162;0.674;0.678;0.272;0.381;0.392;0
0.391;1.176;0.599;0.679;0.244;0.423;0.421;0
0.203;0.899;0.53;0.55;0.179;0.221;0.245;0
0.015;0.622;0.46;0.421;0.114;0.019;0.07;0
0.012;0.523;0.367;0.315;0.094;0.017;0.061;0
0.009;0.425;0.275;0.209;0.075;0.014;0.052;0
0.007;0.357;0.231;0.168;0.065;0.014;0.052;0
0.005;0.288;0.188;0.128;0.055;0.014;0.052;0
0.006;0.262;0.181;0.136;0.054;0.017;0.062;0
0.007;0.237;0.174;0.145;0.053;0.02;0.073;0
0.007;0.231;0.187;0.2;0.067;0.023;0.083;0
0.007;0.226;0.2;0.255;0.081;0.026;0.093;0
0.008;0.257;0.254;0.399;0.138;0.044;0.156;0
0.01;0.287;0.308;0.542;0.194;0.062;0.219;0
0.014;0.304;0.404;0.691;0.304;0.082;0.288;0
0.018;0.32;0.501;0.839;0.413;0.102;0.357;0
0.024;0.365;0.6;0.932;0.533;0.118;0.413;0
0.029;0.409;0.7;1.025;0.653;0.134;0.468;0
0.032;0.481;0.761;1.033;0.66;0.124;0.433;0
0.035;0.553;0.823;1.041;0.667;0.114;0.398;0
0.038;0.646;0.976;1.057;0.666;0.099;0.347;0
0.041;0.738;1.129;1.073;0.665;0.085;0.297;0
