ElUNr_Wi;ElE7_Wi;ElInd_Wi;ElUNr_Sp;ElE7_Sp;ElInd_Sp;ElUNr_Su;ElE7_Su;ElInd_Su;ElUNr_Hi;ElE7_Hi;ElInd_Hi;ElUNr_Au;ElE7_Au;ElInd_Au;dummy
1.409;0.777;1.305;1.122;0.777;1.266;1.186;0.777;1.266;1.160;0.777;1.266;1.146;0.777;1.222;0
1.534;0.89;1.298;1.234;0.89;1.253;1.211;0.89;1.253;1.235;0.89;1.253;1.213;0.89;1.183;0
1.605;0.947;1.302;1.302;0.947;1.302;1.261;0.947;1.302;1.261;0.947;1.302;1.348;0.947;1.243;0
1.641;0.976;1.321;1.279;0.976;1.295;1.261;0.976;1.295;1.261;0.976;1.295;1.393;0.976;1.299;0
1.605;0.966;1.319;1.257;0.966;1.285;1.261;0.966;1.285;1.210;0.966;1.285;1.483;0.966;1.324;0
1.570;0.919;1.311;1.302;0.919;1.284;1.236;0.919;1.284;1.210;0.919;1.284;1.596;0.919;1.321;0
1.516;0.871;1.287;1.234;0.871;1.265;1.162;0.871;1.265;1.210;0.871;1.265;1.551;0.871;1.306;0
1.463;0.852;1.243;1.391;0.852;1.243;1.186;0.852;1.243;1.261;0.852;1.243;1.528;0.852;1.234;0
1.391;0.824;1.15;1.459;0.824;1.15;1.186;0.824;1.15;1.261;0.824;1.15;1.483;0.824;1.03;0
1.373;0.815;0.979;1.504;0.815;0.979;1.285;0.815;0.979;1.336;0.815;0.979;1.483;0.815;0.897;0
1.284;0.777;0.823;1.414;0.777;0.823;1.310;0.777;0.823;1.336;0.777;0.823;1.371;0.777;0.789;0
1.195;0.748;0.712;1.324;0.748;0.712;1.335;0.748;0.712;1.311;0.748;0.712;1.303;0.748;0.734;0
1.070;0.701;0.602;1.212;0.701;0.602;1.236;0.701;0.602;1.235;0.701;0.602;1.146;0.701;0.678;0
0.892;0.625;0.533;0.987;0.625;0.533;1.013;0.625;0.533;1.034;0.625;0.533;0.944;0.625;0.634;0
